Palabra              Idf                 
elemental           : 0.47712125471966244 
esperam             : 0.47712125471966244 
bast                : 0.47712125471966244 
delant              : 0.17609125905568124 
protocol            : 0.47712125471966244 
enganch             : 0.47712125471966244 
arbitrari           : 0.47712125471966244 
usand               : 0.0                 
justific            : 0.17609125905568124 
grafic              : 0.17609125905568124 
sensibl             : 0.47712125471966244 
varg                : 0.47712125471966244 
sint                : 0.47712125471966244 
seri                : 0.47712125471966244 
arte                : 0.47712125471966244 
elabor              : 0.17609125905568124 
laz                 : 0.47712125471966244 
gan                 : 0.47712125471966244 
estrategi           : 0.0                 
propuest            : 0.47712125471966244 
whatsapp            : 0.47712125471966244 
espaci              : 0.17609125905568124 
consider            : 0.17609125905568124 
cuerd               : 0.47712125471966244 
elev                : 0.47712125471966244 
chiquit             : 0.17609125905568124 
igualit             : 0.47712125471966244 
taos                : 0.47712125471966244 
habran              : 0.47712125471966244 
sociolog            : 0.47712125471966244 
uso                 : 0.47712125471966244 
acord               : 0.47712125471966244 
ensen               : 0.17609125905568124 
agrad               : 0.17609125905568124 
den                 : 0.0                 
evalu               : 0.0                 
valient             : 0.47712125471966244 
cuart               : 0.47712125471966244 
ecuador             : 0.17609125905568124 
realment            : 0.47712125471966244 
encuentr            : 0.0                 
nac                 : 0.47712125471966244 
viv                 : 0.17609125905568124 
hig                 : 0.47712125471966244 
dias                : 0.47712125471966244 
repent              : 0.47712125471966244 
event               : 0.47712125471966244 
concesion           : 0.47712125471966244 
curs                : 0.0                 
delfin              : 0.47712125471966244 
helader             : 0.47712125471966244 
trat                : 0.0                 
sac                 : 0.0                 
report              : 0.47712125471966244 
ley                 : 0.47712125471966244 
fall                : 0.47712125471966244 
desv                : 0.47712125471966244 
excus               : 0.47712125471966244 
compañ              : 0.47712125471966244 
call                : 0.47712125471966244 
lejan               : 0.47712125471966244 
figurit             : 0.47712125471966244 
laud                : 0.47712125471966244 
fulanit             : 0.47712125471966244 
c                   : 0.47712125471966244 
gener               : 0.17609125905568124 
hiel                : 0.47712125471966244 
leid                : 0.17609125905568124 
ah                  : 0.47712125471966244 
atac                : 0.47712125471966244 
practic             : 0.17609125905568124 
conoc               : 0.0                 
text                : 0.47712125471966244 
lueg                : 0.0                 
algebr              : 0.47712125471966244 
trabaj              : 0.17609125905568124 
respet              : 0.0                 
acced               : 0.47712125471966244 
actualiz            : 0.47712125471966244 
desempeñ            : 0.47712125471966244 
requ                : 0.47712125471966244 
bombard             : 0.47712125471966244 
uy                  : 0.47712125471966244 
pais                : 0.47712125471966244 
expresar            : 0.47712125471966244 
previst             : 0.47712125471966244 
exact               : 0.47712125471966244 
plat                : 0.17609125905568124 
apunt               : 0.47712125471966244 
vuelv               : 0.47712125471966244 
ques                : 0.47712125471966244 
amig                : 0.17609125905568124 
sart                : 0.47712125471966244 
incurr              : 0.47712125471966244 
cuadr               : 0.47712125471966244 
sigu                : 0.47712125471966244 
premedit            : 0.47712125471966244 
tare                : 0.17609125905568124 
abiert              : 0.0                 
despiert            : 0.47712125471966244 
intern              : 0.47712125471966244 
taller              : 0.17609125905568124 
cuid                : 0.47712125471966244 
dia                 : 0.0                 
profund             : 0.47712125471966244 
complic             : 0.0                 
poquit              : 0.47712125471966244 
condicional         : 0.47712125471966244 
literatur           : 0.47712125471966244 
anos                : 0.47712125471966244 
normal              : 0.47712125471966244 
correl              : 0.47712125471966244 
lectur              : 0.17609125905568124 
calid               : 0.47712125471966244 
confund             : 0.47712125471966244 
parec               : 0.0                 
ideal               : 0.17609125905568124 
extrañ              : 0.17609125905568124 
termin              : 0.47712125471966244 
alcen               : 0.47712125471966244 
lent                : 0.47712125471966244 
prorrog             : 0.47712125471966244 
veam                : 0.47712125471966244 
prueb               : 0.17609125905568124 
hol                 : 0.47712125471966244 
capitul             : 0.0                 
erudit              : 0.47712125471966244 
creem               : 0.47712125471966244 
reflexion           : 0.0                 
tonic               : 0.47712125471966244 
el                  : 0.17609125905568124 
utiliz              : 0.0                 
peeling             : 0.47712125471966244 
principal           : 0.47712125471966244 
extras              : 0.47712125471966244 
acuerd              : 0.0                 
leyend              : 0.47712125471966244 
mayor               : 0.17609125905568124 
conclu              : 0.17609125905568124 
edad                : 0.47712125471966244 
falt                : 0.17609125905568124 
sorpres             : 0.47712125471966244 
ten                 : 0.0                 
fundament           : 0.47712125471966244 
poll                : 0.47712125471966244 
suger               : 0.17609125905568124 
iba                 : 0.0                 
jobs                : 0.47712125471966244 
global              : 0.47712125471966244 
instrument          : 0.47712125471966244 
polit               : 0.17609125905568124 
region              : 0.47712125471966244 
emprend             : 0.47712125471966244 
bec                 : 0.47712125471966244 
vas                 : 0.17609125905568124 
hospici             : 0.47712125471966244 
porcentaj           : 0.47712125471966244 
pur                 : 0.47712125471966244 
inicial             : 0.17609125905568124 
anteay              : 0.47712125471966244 
z                   : 0.47712125471966244 
pil                 : 0.47712125471966244 
hay                 : 0.0                 
clav                : 0.0                 
atemoriz            : 0.47712125471966244 
caf                 : 0.47712125471966244 
buen                : 0.0                 
aparec              : 0.47712125471966244 
repet               : 0.17609125905568124 
escen               : 0.47712125471966244 
especi              : 0.47712125471966244 
comput              : 0.0                 
merc                : 0.47712125471966244 
trabaja             : 0.47712125471966244 
reves               : 0.47712125471966244 
multiplic           : 0.47712125471966244 
transmit            : 0.47712125471966244 
impos               : 0.17609125905568124 
reemplaz            : 0.47712125471966244 
dificultad          : 0.47712125471966244 
tir                 : 0.47712125471966244 
ademas              : 0.0                 
clic                : 0.47712125471966244 
sea                 : 0.0                 
hem                 : 0.47712125471966244 
palabr              : 0.17609125905568124 
hues                : 0.47712125471966244 
aplaus              : 0.47712125471966244 
deambul             : 0.47712125471966244 
sum                 : 0.47712125471966244 
calcul              : 0.47712125471966244 
respond             : 0.0                 
invers              : 0.47712125471966244 
noveler             : 0.47712125471966244 
bronx               : 0.47712125471966244 
onlin               : 0.47712125471966244 
planific            : 0.47712125471966244 
ok                  : 0.47712125471966244 
mail                : 0.47712125471966244 
incurs              : 0.47712125471966244 
mil                 : 0.47712125471966244 
enfoc               : 0.47712125471966244 
absolut             : 0.47712125471966244 
car                 : 0.17609125905568124 
a=b                 : 0.47712125471966244 
rueg                : 0.47712125471966244 
puest               : 0.17609125905568124 
distint             : 0.47712125471966244 
cach                : 0.47712125471966244 
vuelt               : 0.47712125471966244 
sony                : 0.47712125471966244 
mand                : 0.17609125905568124 
medic               : 0.47712125471966244 
mat                 : 0.17609125905568124 
carrer              : 0.0                 
evident             : 0.47712125471966244 
estudianton         : 0.47712125471966244 
financier           : 0.47712125471966244 
regres              : 0.47712125471966244 
azar                : 0.47712125471966244 
brillant            : 0.17609125905568124 
pele                : 0.47712125471966244 
inici               : 0.0                 
atad                : 0.47712125471966244 
oportun             : 0.17609125905568124 
gratuit             : 0.47712125471966244 
particip            : 0.17609125905568124 
tecnic              : 0.17609125905568124 
katherin            : 0.47712125471966244 
arbitr              : 0.47712125471966244 
olvid               : 0.47712125471966244 
codig               : 0.47712125471966244 
son                 : 0.0                 
rubric              : 0.47712125471966244 
pit                 : 0.47712125471966244 
dificult            : 0.17609125905568124 
titul               : 0.17609125905568124 
cambi               : 0.0                 
line                : 0.47712125471966244 
doy                 : 0.17609125905568124 
malecon             : 0.47712125471966244 
apal                : 0.47712125471966244 
conclusion          : 0.47712125471966244 
germ                : 0.47712125471966244 
disposicion         : 0.47712125471966244 
sup                 : 0.17609125905568124 
centr               : 0.0                 
social              : 0.17609125905568124 
intent              : 0.17609125905568124 
b=a                 : 0.47712125471966244 
bla                 : 0.47712125471966244 
desmitific          : 0.47712125471966244 
vin                 : 0.17609125905568124 
minut               : 0.0                 
especific           : 0.47712125471966244 
desarroll           : 0.0                 
afuer               : 0.17609125905568124 
asunt               : 0.47712125471966244 
hospital            : 0.47712125471966244 
aterriz             : 0.47712125471966244 
quej                : 0.0                 
pus                 : 0.0                 
razon               : 0.0                 
intension           : 0.47712125471966244 
complej             : 0.0                 
pudr                : 0.47712125471966244 
cuest               : 0.47712125471966244 
teor                : 0.47712125471966244 
previ               : 0.47712125471966244 
except              : 0.17609125905568124 
formul              : 0.17609125905568124 
llam                : 0.0                 
individual          : 0.17609125905568124 
definit             : 0.47712125471966244 
cercan              : 0.47712125471966244 
curios              : 0.47712125471966244 
sil                 : 0.47712125471966244 
sesion              : 0.47712125471966244 
evidenci            : 0.47712125471966244 
metod               : 0.0                 
comun               : 0.0                 
jamas               : 0.17609125905568124 
import              : 0.0                 
cuartil             : 0.47712125471966244 
secuencial          : 0.47712125471966244 
aclar               : 0.17609125905568124 
natural             : 0.47712125471966244 
da                  : 0.0                 
diaposit            : 0.17609125905568124 
carl                : 0.17609125905568124 
eram                : 0.47712125471966244 
satisfac            : 0.47712125471966244 
mental              : 0.17609125905568124 
academ              : 0.0                 
rap                 : 0.17609125905568124 
atonit              : 0.47712125471966244 
grup                : 0.0                 
persecu             : 0.47712125471966244 
quint               : 0.47712125471966244 
ano                 : 0.17609125905568124 
traj                : 0.47712125471966244 
aplic               : 0.0                 
anot                : 0.17609125905568124 
entiend             : 0.0                 
port                : 0.17609125905568124 
desesper            : 0.47712125471966244 
ingenier            : 0.17609125905568124 
oper                : 0.47712125471966244 
manten              : 0.47712125471966244 
sid                 : 0.0                 
compart             : 0.47712125471966244 
habl                : 0.0                 
anda                : 0.17609125905568124 
sugerent            : 0.47712125471966244 
material            : 0.0                 
entrab              : 0.47712125471966244 
influenci           : 0.47712125471966244 
amabl               : 0.47712125471966244 
jef                 : 0.47712125471966244 
tendras             : 0.47712125471966244 
ultim               : 0.47712125471966244 
excelent            : 0.47712125471966244 
tip                 : 0.17609125905568124 
parcial             : 0.17609125905568124 
diferent            : 0.0                 
dud                 : 0.0                 
diferenci           : 0.47712125471966244 
sol                 : 0.17609125905568124 
desmot              : 0.47712125471966244 
incur               : 0.47712125471966244 
coloc               : 0.47712125471966244 
madr                : 0.47712125471966244 
relacion            : 0.0                 
inquietud           : 0.17609125905568124 
muer                : 0.47712125471966244 
entreg              : 0.0                 
especul             : 0.47712125471966244 
sub                 : 0.17609125905568124 
tap                 : 0.47712125471966244 
engañ               : 0.47712125471966244 
resum               : 0.47712125471966244 
diganm              : 0.47712125471966244 
espectacular        : 0.47712125471966244 
retroaliment        : 0.47712125471966244 
gras                : 0.47712125471966244 
sintetiz            : 0.47712125471966244 
acomplej            : 0.47712125471966244 
suscrit             : 0.47712125471966244 
resolv              : 0.0                 
http                : 0.47712125471966244 
esquem              : 0.47712125471966244 
rend                : 0.47712125471966244 
muert               : 0.17609125905568124 
brows               : 0.47712125471966244 
larg                : 0.47712125471966244 
er                  : 0.47712125471966244 
honest              : 0.47712125471966244 
socied              : 0.47712125471966244 
mas                 : 0.0                 
gran                : 0.17609125905568124 
proxim              : 0.17609125905568124 
shows               : 0.47712125471966244 
com                 : 0.0                 
corre               : 0.0                 
algui               : 0.0                 
cristin             : 0.47712125471966244 
public              : 0.47712125471966244 
especial            : 0.17609125905568124 
cuantit             : 0.47712125471966244 
ocult               : 0.47712125471966244 
top                 : 0.47712125471966244 
almuerz             : 0.47712125471966244 
aprendizaj          : 0.47712125471966244 
quier               : 0.0                 
bot                 : 0.47712125471966244 
recomend            : 0.47712125471966244 
mostr               : 0.0                 
consecuent          : 0.47712125471966244 
caen                : 0.47712125471966244 
logic               : 0.17609125905568124 
europ               : 0.47712125471966244 
bal                 : 0.17609125905568124 
alto                : 0.47712125471966244 
estadist            : 0.47712125471966244 
facil               : 0.0                 
logr                : 0.0                 
lamin               : 0.47712125471966244 
que                 : 0.0                 
personal            : 0.17609125905568124 
extranjer           : 0.47712125471966244 
convenc             : 0.47712125471966244 
han                 : 0.0                 
clas                : 0.0                 
lleg                : 0.0                 
caball              : 0.47712125471966244 
puntual             : 0.17609125905568124 
dolar               : 0.47712125471966244 
audit               : 0.47712125471966244 
extens              : 0.47712125471966244 
messeng             : 0.47712125471966244 
avis                : 0.47712125471966244 
skype               : 0.47712125471966244 
quiebr              : 0.47712125471966244 
tem                 : 0.0                 
costumbr            : 0.47712125471966244 
fotograf            : 0.47712125471966244 
dand                : 0.17609125905568124 
min                 : 0.47712125471966244 
envergadur          : 0.47712125471966244 
recib               : 0.0                 
dl                  : 0.47712125471966244 
extend              : 0.47712125471966244 
pregr               : 0.47712125471966244 
unic                : 0.0                 
leyeron             : 0.47712125471966244 
adel                : 0.17609125905568124 
ensegu              : 0.47712125471966244 
tirabuzon           : 0.47712125471966244 
modific             : 0.47712125471966244 
analog              : 0.47712125471966244 
estir               : 0.47712125471966244 
arroz               : 0.47712125471966244 
desenvolv           : 0.47712125471966244 
design              : 0.47712125471966244 
peor                : 0.47712125471966244 
camion              : 0.47712125471966244 
dem                 : 0.47712125471966244 
horari              : 0.17609125905568124 
consum              : 0.47712125471966244 
desconoc            : 0.47712125471966244 
confusion           : 0.47712125471966244 
juni                : 0.47712125471966244 
adred               : 0.47712125471966244 
rest                : 0.17609125905568124 
idas                : 0.47712125471966244 
rompecabez          : 0.47712125471966244 
web                 : 0.17609125905568124 
hiz                 : 0.0                 
ama                 : 0.47712125471966244 
posesion            : 0.47712125471966244 
caiced              : 0.47712125471966244 
stev                : 0.47712125471966244 
retroali            : 0.47712125471966244 
dandol              : 0.47712125471966244 
ped                 : 0.0                 
insit               : 0.47712125471966244 
astuci              : 0.47712125471966244 
part                : 0.0                 
escuel              : 0.47712125471966244 
lej                 : 0.47712125471966244 
cabez               : 0.17609125905568124 
mercade             : 0.47712125471966244 
expir               : 0.47712125471966244 
dio                 : 0.17609125905568124 
segun               : 0.47712125471966244 
person              : 0.0                 
met                 : 0.47712125471966244 
ocasion             : 0.0                 
dir                 : 0.17609125905568124 
mejor               : 0.0                 
revis               : 0.0                 
conjunt             : 0.47712125471966244 
mund                : 0.17609125905568124 
puls                : 0.47712125471966244 
hij                 : 0.17609125905568124 
foment              : 0.17609125905568124 
escond              : 0.47712125471966244 
bah                 : 0.47712125471966244 
conscient           : 0.47712125471966244 
e                   : 0.17609125905568124 
organiz             : 0.47712125471966244 
complet             : 0.0                 
dreamworks          : 0.17609125905568124 
espos               : 0.47712125471966244 
incumpl             : 0.47712125471966244 
pequeñ              : 0.17609125905568124 
aprob               : 0.47712125471966244 
alej                : 0.47712125471966244 
sierr               : 0.47712125471966244 
casual              : 0.47712125471966244 
desmitif            : 0.47712125471966244 
orient              : 0.17609125905568124 
perd                : 0.47712125471966244 
millon              : 0.47712125471966244 
quit                : 0.17609125905568124 
androlog            : 0.47712125471966244 
voluntari           : 0.47712125471966244 
inform              : 0.0                 
suficient           : 0.47712125471966244 
exig                : 0.47712125471966244 
iñaki               : 0.47712125471966244 
oficin              : 0.0                 
and                 : 0.47712125471966244 
español             : 0.17609125905568124 
q                   : 0.47712125471966244 
fuer                : 0.0                 
agres               : 0.47712125471966244 
mes                 : 0.17609125905568124 
etap                : 0.47712125471966244 
poses               : 0.47712125471966244 
vez                 : 0.0                 
rang                : 0.47712125471966244 
numer               : 0.17609125905568124 
calific             : 0.47712125471966244 
sirv                : 0.17609125905568124 
aport               : 0.17609125905568124 
fot                 : 0.47712125471966244 
repercusion         : 0.47712125471966244 
ojo                 : 0.47712125471966244 
estuv               : 0.0                 
pel                 : 0.47712125471966244 
valor               : 0.47712125471966244 
regim               : 0.47712125471966244 
miedos              : 0.47712125471966244 
verific             : 0.47712125471966244 
monsalv             : 0.17609125905568124 
serv                : 0.17609125905568124 
gratif              : 0.47712125471966244 
moment              : 0.0                 
defin               : 0.47712125471966244 
revist              : 0.0                 
usar                : 0.47712125471966244 
vien                : 0.17609125905568124 
atraves             : 0.47712125471966244 
cuestion            : 0.17609125905568124 
pon                 : 0.0                 
signif              : 0.47712125471966244 
defend              : 0.47712125471966244 
astut               : 0.47712125471966244 
tuv                 : 0.0                 
emple               : 0.47712125471966244 
velazquez           : 0.47712125471966244 
argument            : 0.17609125905568124 
deb                 : 0.0                 
depend              : 0.17609125905568124 
acerc               : 0.0                 
recien              : 0.47712125471966244 
encant              : 0.47712125471966244 
inclu               : 0.17609125905568124 
echan               : 0.47712125471966244 
sob                 : 0.47712125471966244 
