Palabras            			Doc1.txt		Doc2.txt		doc3.txt		
estatal:            			0			2			0
prepare:            			0			1			0
operativo:          			0			0			1
acordarla:          			1			0			0
novelero:           			0			1			0
arroz:              			0			1			0
oigan:              			0			1			0
atacar:             			1			0			0
consideraban:       			0			0			1
rápidas:            			0			1			0
presentación:       			0			10			1
consultas:          			0			0			2
impacto:            			0			1			0
terminaron:         			0			1			0
bastantes:          			1			0			0
manejan:            			0			1			0
desmitificar:       			1			0			0
conscientes:        			2			0			0
sirvió:             			1			1			0
velázquez:          			0			1			0
buenos:             			0			0			1
aprendizajes:       			1			0			0
ponerme:            			0			1			0
avanzar:            			1			0			0
consumen:           			0			0			1
quejas:             			0			0			2
práctica:           			4			0			2
itinerario:         			0			1			0
conjunto:           			0			1			0
consecuencias:      			0			0			1
extenso:            			1			0			0
buen:               			1			2			1
acuérdense:         			1			0			0
contesten:          			0			1			0
cumplir:            			3			1			1
juego:              			0			2			1
messenger:          			0			2			0
quiero:             			4			1			0
discutiendo:        			0			2			0
abierta:            			1			0			1
contenta:           			1			1			0
él:                 			0			3			1
ingeniero:          			2			6			0
disque:             			1			0			0
justificaría:       			0			1			0
envié:              			0			0			1
llegar:             			0			4			0
retroalimenten:     			1			0			0
controlar:          			0			1			1
ningún:             			1			1			1
contadores:         			0			0			1
comunidad:          			0			2			0
quinta:             			1			0			0
queda:              			1			3			0
mover:              			0			0			1
cumple:             			1			1			0
idas:               			0			1			0
compre:             			0			2			0
meten:              			0			1			0
serviría:           			1			0			0
estrategia:         			2			1			2
vi:                 			0			0			1
honesta:            			1			0			0
exclusivo:          			0			1			0
suben:              			0			1			0
productivo:         			0			1			0
porcentaje:         			0			0			1
falta:              			4			2			0
alumnos:            			0			1			0
resolverías:        			1			0			0
haber:              			3			1			2
evidente:           			3			0			0
creatividad:        			0			2			0
enfocan:            			0			0			1
león:               			0			3			0
abuelito:           			0			1			0
modificación:       			0			0			1
enteras:            			0			0			1
credibilidad:       			0			1			0
tuto:               			2			0			0
amable:             			0			1			0
mire:               			2			1			0
beneficiarse:       			1			0			0
necesidad:          			2			1			0
pueda:              			2			0			2
articulo:           			1			0			0
abstractos:         			0			1			0
llevar:             			1			1			2
invite:             			0			0			2
rocafuerte:         			0			1			0
vino:               			0			1			2
quieres:            			0			3			0
darse:              			0			0			1
desarrollar:        			1			0			4
técnica:            			1			3			0
invitados:          			0			0			1
dificultades:       			1			0			0
mejoran:            			1			0			0
precio:             			0			1			0
presidente:         			0			1			0
mostrarles:         			1			0			0
pasada:             			1			0			0
director:           			0			3			0
pareciera:          			1			0			0
desarrollamos:      			0			1			0
directas:           			0			1			0
ponen:              			1			2			0
sacaron:            			0			3			0
demostrado:         			0			2			0
comentaste:         			0			0			1
formulación:        			0			3			0
cerca:              			1			0			0
políticas:          			0			1			1
propios:            			0			1			0
siguen:             			1			0			1
publicaran:         			1			0			0
d:                  			2			0			0
habilidades:        			3			2			2
desarrollo:         			0			0			8
despierto:          			0			1			0
hablen:             			1			0			0
diseños:            			0			0			1
refiero:            			1			0			0
acumular:           			0			0			1
lección:            			1			4			5
espectacular:       			1			2			0
contesto:           			0			6			0
evidenciar:         			1			0			0
desventaja:         			1			0			0
presión:            			0			0			1
nuevo:              			2			3			2
incremente:         			1			0			0
ahí:                			0			2			0
algebra:            			0			0			1
revisamos:          			0			0			1
métodos:            			3			0			1
fallado:            			0			0			3
especular:          			0			1			0
sede:               			2			0			0
tarde:              			2			3			0
viejitos:           			0			1			0
fotográfica:        			0			2			0
hijo:               			0			2			0
cuál:               			4			1			1
avisa:              			1			0			0
explicaba:          			0			0			2
solución:           			0			0			5
carrera:            			3			11			4
peeling:            			0			1			0
comenzar:           			0			0			1
desvía:             			0			1			0
dejarlos:           			0			1			0
entregado:          			1			0			1
titulación:         			0			3			0
hígado:             			0			2			0
discusión:          			3			0			0
montar:             			0			0			1
resultaban:         			0			0			1
molestia:           			0			1			0
bares:              			1			0			0
cero:               			0			0			1
admira:             			0			1			0
revisión:           			8			0			0
sal:                			0			1			0
cuidado:            			0			3			0
confianza:          			1			2			1
pieza:              			0			0			1
reaccione:          			0			0			1
abiertas:           			1			0			0
interface:          			0			0			3
entendiste:         			0			1			0
acuerdo:            			6			4			1
importantísimo:     			1			0			0
pasar:              			0			2			1
permite:            			1			0			0
blanco:             			0			1			0
laminas:            			0			1			0
importancia:        			0			0			1
plus:               			0			1			0
concepción:         			0			0			1
necesitar:          			2			1			1
tirar:              			0			1			0
dijeron:            			0			0			1
desmotiva:          			0			0			2
suma:               			0			1			0
enseguida:          			0			0			1
paperas:            			1			2			0
estudiante:         			9			7			19
último:             			0			1			0
asistían:           			0			0			1
redes:              			0			3			0
españolas:          			2			0			0
vemos:              			0			1			1
sábado:             			0			1			0
retroalimentaciones:			2			0			0
katherine:          			0			1			0
criterio:           			0			1			0
exposición:         			1			2			1
adecuadamente:      			0			0			1
teca:               			0			1			0
minutos:            			3			6			2
empiezas:           			0			0			1
vas:                			2			11			0
di:                 			2			1			2
des:                			0			1			0
sitio:              			1			0			0
caras:              			0			1			0
motivación:         			2			4			3
doble:              			0			2			0
maestría:           			5			0			1
requería:           			0			0			1
exactamente:        			0			1			0
preparaban:         			0			0			1
buscar:             			3			5			2
entran:             			0			1			0
vengan:             			2			0			1
producto:           			0			2			0
capacidad:          			0			0			4
mostraba:           			0			0			1
cuáles:             			1			0			0
quitan:             			0			1			0
abro:               			1			0			0
juegos:             			0			2			0
recursos:           			1			0			1
visitar:            			1			0			0
concatenan:         			0			1			0
opción:             			0			1			0
anotaban:           			0			0			1
estudie:            			0			1			0
efecto:             			0			0			2
admiran:            			0			1			0
promoción:          			0			3			0
entendido:          			2			1			1
comunicaciones:     			0			1			0
básicos:            			0			0			1
generar:            			2			1			0
retroalimento:      			2			0			0
posición:           			0			2			1
sorpresas:          			0			1			0
decirles:           			1			1			0
escucharlo:         			0			2			0
querían:            			0			4			0
enfocaban:          			0			0			1
mayoría:            			2			0			2
abusan:             			0			1			0
tenido:             			0			2			0
estudien:           			0			0			1
implica:            			4			0			0
pudieran:           			2			0			0
extras:             			0			0			1
recordar:           			0			1			0
hayan:              			0			0			1
millón:             			0			1			0
darte:              			0			1			0
justicia:           			0			3			0
acabó:              			1			1			0
estuvo:             			1			4			0
estudiaste:         			0			1			0
lanza:              			0			1			0
grande:             			2			1			0
temprano:           			0			1			0
simplemente:        			1			1			3
manejo:             			0			2			0
realmente:          			6			0			0
heder:              			0			0			1
tenga:              			1			2			0
autorizo:           			0			1			0
ahora:              			6			3			1
equivocar:          			0			1			0
confusión:          			0			1			0
arte:               			0			1			0
nueva:              			2			1			0
cambiaban:          			0			0			1
completo:           			1			0			1
individual:         			1			2			0
también:            			12			7			13
industria:          			0			0			1
researchjournal:    			0			0			1
ideal:              			1			1			0
pasados:            			0			1			0
repetían:           			0			0			1
segunda:            			1			1			1
áreas:              			1			0			0
excusa:             			0			0			1
ochoa:              			0			1			0
lado:               			5			2			0
estudiantes:        			13			34			52
valiente:           			0			1			0
oportunidad:        			4			0			1
intergrupal:        			1			0			0
chiquitos:          			1			0			0
pilas:              			0			1			0
tercera:            			2			2			0
respeto:            			10			3			2
premeditada:        			0			1			0
evaluadas:          			0			1			0
componentes:        			2			3			1
mejore:             			1			0			0
pena:               			2			2			0
daban:              			0			0			3
peormente:          			1			0			0
plantea:            			1			0			0
cubierto:           			0			0			1
traje:              			0			1			0
ruego:              			0			1			0
reales:             			0			1			0
creen:              			0			3			0
cámara:             			0			7			0
vuelta:             			1			0			0
buscamos:           			0			1			0
evalúas:            			0			2			0
pequeña:            			1			0			0
debidas:            			0			0			1
aprende:            			1			1			0
inventario:         			0			4			0
preparaste:         			0			1			0
sucede:             			0			1			0
l:                  			0			1			0
iniciar:            			1			0			0
revisiones:         			1			0			0
repetir:            			0			1			1
acepta:             			0			1			0
así:                			12			10			10
pregunten:          			1			5			0
complejidad:        			0			0			6
secuencialmente:    			0			0			3
videos:             			0			5			0
evaluaron:          			0			0			1
limitan:            			0			0			1
lees:               			0			1			0
importa:            			0			1			0
flexible:           			1			0			0
ocasiones:          			5			0			7
importan:           			0			2			0
consigas:           			0			1			0
extra:              			0			0			1
cuadrado:           			0			6			0
dreamworks:         			0			2			2
miedosos:           			1			0			0
vergonzosos:        			1			0			0
evalúan:            			0			1			0
enojo:              			0			1			0
utilizando:         			0			0			2
organizando:        			0			1			0
mostraran:          			0			0			1
necesariamente:     			2			1			0
segura:             			1			0			0
ecuatorianos:       			0			1			0
extrañas:           			0			0			1
planificado:        			1			0			0
difundido:          			0			1			0
convencido:         			0			1			0
social:             			0			2			2
falencias:          			0			0			1
parece:             			1			2			4
subir:              			0			1			0
implicaciones:      			0			0			1
chupa:              			1			0			0
expiración:         			0			1			0
requerimientos:     			0			0			1
revisar:            			2			0			0
procuraba:          			0			0			5
pensándolo:         			0			1			0
muchísimo:          			0			0			3
aromaterapia:       			0			1			0
contradictorio:     			0			1			0
leas:               			1			0			0
espontanea:         			0			2			0
motiva:             			1			3			3
sintonía:           			0			1			0
cierre:             			2			0			0
dictada:            			1			0			0
peleando:           			0			1			0
objetos:            			0			0			6
oiga:               			0			3			0
hueso:              			1			0			0
especifica:         			0			1			0
cultiva:            			0			1			0
pírquenos:          			1			0			0
muchacho:           			3			1			0
miran:              			0			1			0
ventas:             			0			2			0
preparas:           			0			1			0
decano:             			0			1			0
estira:             			0			1			0
entrevistan:        			0			1			0
levantar:           			2			0			0
confundidos:        			2			0			0
consciencia:        			2			0			0
realizado:          			1			0			0
mezcla:             			0			1			0
incorrecta:         			0			2			0
escuchar:           			0			1			0
chico:              			1			3			0
filosófico:         			0			1			0
desempeño:          			0			0			2
evento:             			1			0			0
malecón:            			0			2			0
corto:              			1			0			0
vendo:              			5			0			0
hubo:               			1			4			0
abuelitos:          			0			1			0
desmitificarse:     			1			0			0
crear:              			0			2			1
alejando:           			0			1			0
capitulo:           			1			1			0
traigan:            			1			0			0
recuerdan:          			0			1			0
introduce:          			1			0			0
discutir:           			1			0			1
mandarle:           			1			0			0
igual:              			2			1			5
debería:            			1			2			0
sentido:            			1			0			1
aportan:            			0			1			0
patrones:           			0			0			1
nota:               			0			5			0
importante:         			3			3			9
vaina:              			0			1			0
requerir:           			0			0			1
respuestas:         			0			2			1
sienten:            			2			1			1
aquí:               			12			11			1
metodología:        			0			2			0
pollo:              			0			1			0
corta:              			1			0			0
incurrir:           			0			0			1
proyecto:           			11			7			7
enlazar:            			1			0			0
defender:           			1			0			0
le:                 			12			46			8
quitar:             			1			0			0
única:              			0			2			1
venir:              			2			0			0
increíble:          			0			2			0
espacios:           			2			0			0
añaden:             			0			0			1
extraía:            			0			0			1
fuente:             			0			0			1
dicta:              			0			1			0
pana:               			0			1			0
mes:                			0			1			0
dejas:              			0			1			0
muchacha:           			2			0			0
ecuatoriana:        			0			1			0
utilizo:            			0			1			0
mapa:               			0			0			1
cara:               			2			4			0
ancho:              			0			0			2
dinámica:           			0			14			0
estudio:            			0			1			0
fuerte:             			2			1			0
hilo:               			1			0			0
razón:              			0			3			1
=:                  			0			0			1
pensaba:            			0			1			1
youtube:            			0			1			0
pensado:            			1			0			0
tomen:              			0			0			1
dejan:              			0			0			1
típica:             			1			0			0
haberles:           			0			0			1
vigilantes:         			0			1			0
académicos:         			0			0			1
viendo:             			0			0			5
percepción:         			0			1			0
empezar:            			0			0			3
quería:             			1			2			2
citar:              			2			0			0
comunicar:          			1			0			3
abusadora:          			0			1			0
comprarías:         			0			1			0
anda:               			1			1			0
participe:          			1			0			0
catherine:          			0			1			0
cumpliendo:         			2			0			0
posesivos:          			0			1			0
tenciones:          			1			0			0
veías:              			0			2			1
hubieran:           			1			0			0
evaluaba:           			0			0			2
prácticas:          			0			0			4
dinámicas:          			0			2			0
ayudaban:           			0			0			4
mecánicos:          			0			1			0
sigue:              			1			2			0
ensenarles:         			0			1			1
browser:            			0			0			3
creación:           			0			2			0
contenido:          			7			0			1
aula:               			7			0			0
sugerir:            			1			0			0
propia:             			0			0			1
hijos:              			0			5			0
hija:               			1			0			0
allá:               			1			5			0
preguntarme:        			0			1			0
anteriores:         			0			0			1
perseveraban:       			0			0			1
facilidad:          			0			3			3
resolverlo:         			1			1			0
variables:          			2			0			2
paralelo:           			1			0			0
desarrollado:       			0			0			1
carlos:             			3			1			0
quedar:             			2			1			0
cumplen:            			1			0			0
apurada:            			1			0			0
exijo:              			2			0			0
miras:              			0			1			0
llegaran:           			1			0			0
llamada:            			0			1			0
revisa:             			1			0			0
logra:              			0			1			0
dueño:              			0			1			0
normal:             			2			0			0
ambiente:           			1			0			0
centros:            			0			1			0
preparados:         			2			0			1
graduar:            			0			1			0
comprado:           			0			2			0
dicho:              			2			2			2
lejanos:            			0			1			0
celulares:          			0			1			0
necesitas:          			1			0			0
fluida:             			1			1			0
sintiera:           			1			0			0
centrado:           			1			0			0
terminar:           			0			1			0
desapercibido:      			0			0			1
feedback:           			0			0			2
mande:              			0			1			0
entiendes:          			1			0			0
estrictamente:      			0			0			1
delfines:           			2			0			0
proporción:         			0			0			1
chévere:            			1			7			0
ponían:             			1			0			0
buscando:           			1			1			0
tareas:             			6			1			0
está:               			23			19			2
sostenidos:         			1			0			0
dicen:              			6			3			0
hablan:             			0			3			0
sirve:              			5			7			0
matemáticos:        			0			0			2
escuela:            			0			4			0
enviaba:            			0			0			1
pasaba:             			0			1			0
notas:              			0			2			1
hablamos:           			1			0			1
intercambiar:       			1			0			0
respetarlo:         			0			1			0
curricular:         			2			0			0
cuantitativo:       			1			0			0
ingeniería:         			0			1			0
muestren:           			0			0			1
disponible:         			0			1			0
interfaz:           			0			0			1
mercado:            			0			3			0
inconscientemente:  			0			0			1
retroalimenta:      			1			0			0
pienso:             			3			3			1
acercando:          			1			0			0
instrumento:        			4			0			0
silabas:            			0			0			2
vista:              			0			1			0
motivara:           			0			0			1
esfuerzo:           			0			1			0
sociales:           			0			3			0
local:              			1			0			0
curso:              			12			13			17
publicamos:         			1			0			0
participar:         			1			0			0
utilizamos:         			0			1			0
solicitar:          			1			0			0
regiones:           			0			1			0
demandan:           			1			0			0
decimos:            			0			0			1
gran:               			3			0			1
cambiamos:          			0			0			1
quejan:             			1			0			0
esquematizarlas:    			0			1			0
matemática:         			0			0			2
tienden:            			0			0			1
importantes:        			2			3			1
computación:        			1			4			1
grado:              			0			4			0
integrarlo:         			1			0			0
fomenta:            			1			1			0
graduabas:          			0			1			0
valioso:            			0			2			0
introduces:         			0			0			2
pequeños:           			4			0			3
coordinación:       			1			0			1
diga:               			1			3			1
hallan:             			0			1			0
interna:            			1			0			0
poderles:           			0			1			0
entradas:           			0			1			0
semestres:          			1			0			0
atendió:            			0			1			0
pedirles:           			0			0			1
doctora:            			1			0			0
quizás:             			5			0			0
dólares:            			0			2			0
deambulando:        			0			1			0
copiar:             			0			0			1
presentan:          			1			1			0
reflexión:          			6			14			0
saco:               			2			0			0
materias:           			1			1			0
vender:             			1			3			0
pasos:              			1			0			0
actuales:           			0			1			0
salga:              			0			3			0
tratan:             			0			2			0
cometemos:          			0			0			1
escucho:            			0			1			1
presentárselo:      			0			1			0
obvia:              			0			1			0
resumen:            			3			0			0
apoyo:              			3			0			0
drope:              			0			0			2
muestro:            			0			1			1
cojo:               			0			1			0
completan:          			0			0			1
repetía:            			0			0			1
asistido:           			0			0			2
trata:              			4			1			0
oye:                			0			2			0
intereses:          			0			2			0
lean:               			0			0			1
hacían:             			0			2			3
escuchan:           			0			1			0
viene:              			5			5			0
desmitificas:       			1			0			0
nervioso:           			0			2			0
negro:              			0			1			0
aprendió:           			3			0			0
presionarlos:       			1			0			0
brillantes:         			1			0			0
formales:           			0			0			1
pudieron:           			1			0			0
pagar:              			0			3			0
introducir:         			0			0			2
interesando:        			1			0			0
decir:              			4			11			4
valores:            			0			0			2
dirigirlos:         			0			1			0
investigación:      			28			5			1
matriculaban:       			0			1			0
tratando:           			1			0			1
tienes:             			16			15			2
inmediata:          			1			0			0
presentaron:        			0			1			0
pobre:              			1			0			0
manejar:            			0			1			0
acomplejada:        			0			1			0
hacerme:            			0			1			0
método:             			0			2			0
resolvían:          			0			0			1
metido:             			0			2			0
juzga:              			0			2			0
expresare:          			0			0			1
acercarse:          			0			1			0
tónica:             			0			1			0
incursar:           			1			0			0
operador:           			0			0			3
pedía:              			0			0			5
desarrollas:        			0			0			1
generalmente:       			3			4			5
condiciones:        			1			0			0
funciona:           			0			6			2
tantear:            			1			0			0
español:            			0			1			0
elena:              			0			2			0
cuarto:             			0			1			0
suceder:            			0			0			1
página:             			1			0			0
usen:               			0			1			0
peor:               			0			3			0
mirar:              			1			0			0
rato:               			2			1			0
genere:             			1			0			0
periquito:          			1			0			0
atmosfera:          			0			5			0
bueno:              			2			14			1
topar:              			1			0			0
pupila:             			0			1			0
centro:             			0			0			1
miren:              			3			1			0
diferencia:         			0			2			1
revisábamos:        			0			0			1
preparado:          			1			2			1
principio:          			0			1			0
tenia:              			0			1			2
becerra:            			0			3			0
aprobó:             			0			0			1
reglamento:         			0			7			0
twitter:            			1			0			0
llamo:              			0			0			1
pidió:              			0			1			0
ring:               			2			0			0
e:                  			1			0			3
desmotivan:         			0			0			1
proceso:            			0			2			0
veamos:             			1			0			0
vendan:             			0			1			0
imágenes:           			0			0			1
podías:             			0			0			1
ensenar:            			0			1			1
participación:      			0			0			2
tristeza:           			1			0			0
salido:             			1			0			0
elaborar:           			0			1			0
esperan:            			0			1			0
dejarlo:            			0			1			0
par:                			0			0			1
dictar:             			0			0			1
comprador:          			0			3			0
comuniquen:         			1			0			0
evaluados:          			0			0			1
usando:             			1			1			1
colaborar:          			0			1			0
muchachos:          			3			2			0
recomendable:       			0			0			1
figurita:           			0			1			0
resolvió:           			0			0			1
teoría:             			2			0			0
enfocarse:          			0			0			1
protocolo:          			0			0			1
naturales:          			0			1			0
dabas:              			0			0			1
enlaza:             			1			0			0
enfermas:           			0			1			0
chéveres:           			0			1			0
superiores:         			0			1			0
explicaciones:      			1			0			0
grabado:            			0			1			0
llevaban:           			0			0			1
noten:              			0			0			1
desarrolladas:      			1			0			0
cambiarla:          			0			1			0
pasabas:            			0			1			0
atónito:            			0			1			0
ando:               			0			2			0
verdes:             			0			0			1
venían:             			0			0			6
luego:              			9			12			27
hoy:                			3			1			0
entrabamos:         			0			1			0
grosera:            			0			0			1
fastidiándolos:     			1			0			0
venido:             			0			1			1
visible:            			0			0			1
disposición:        			1			0			0
senescyt:           			1			0			0
herramientas:       			1			1			3
concesiones:        			0			1			0
escuelita:          			0			1			0
cambias:            			0			1			0
situaciones:        			0			2			1
podido:             			2			0			0
bruto:              			0			0			1
gente:              			4			38			0
comunicativo:       			0			1			0
intelectual:        			0			0			2
escritos:           			0			1			0
molestes:           			0			1			0
técnicas:           			0			1			0
correlaciones:      			1			0			0
feliz:              			0			2			0
ejecutan:           			0			0			1
aplicaciones:       			0			3			6
bajan:              			1			0			0
visto:              			1			1			7
organización:       			0			3			0
poetas:             			0			1			0
expositores:        			0			0			1
cercanos:           			0			1			0
portando:           			0			0			1
quisieran:          			2			0			0
publican:           			3			0			0
después:            			1			7			3
formulas:           			0			0			1
entorno:            			0			1			0
espérame:           			0			1			0
programación:       			1			1			34
bajos:              			0			0			1
llama:              			0			11			0
cuestionada:        			1			0			0
chiruza:            			1			0			0
negociables:        			2			0			0
activa:             			1			0			0
ocasión:            			0			1			0
hambre:             			1			1			0
seguramente:        			1			3			0
expresión:          			0			1			0
sirven:             			0			1			0
actividad:          			5			0			0
respetemos:         			0			1			0
rúbrica:            			0			4			0
ayudantías:         			0			1			0
escuchamos:         			0			1			0
ejemplos:           			0			2			0
pensar:             			0			0			2
vincules:           			1			0			0
pitan:              			0			2			0
junio:              			0			1			0
conflictos:         			0			0			1
les:                			41			63			46
vieron:             			0			3			0
pareció:            			0			1			0
tenerte:            			0			1			0
correcto:           			0			1			1
rabino:             			0			1			0
hospital:           			0			1			0
persecución:        			1			0			0
manuales:           			1			0			0
vincule:            			1			0			0
datos:              			11			0			0
invitar:            			0			1			0
semana:             			8			0			4
queso:              			1			0			0
caicedo:            			0			1			0
rango:              			0			0			1
pasa:               			2			8			1
comienzas:          			0			2			0
puso:               			1			0			0
experiencias:       			1			0			0
próxima:            			1			0			0
reciben:            			1			0			0
preguntan:          			0			6			0
computador:         			0			0			1
azar:               			0			0			1
primeros:           			0			0			2
salgan:             			1			0			0
sientan:            			1			0			0
profunda:           			0			1			0
mecánica:           			0			1			0
sarta:              			0			1			0
dale:               			3			0			0
entregue:           			0			0			1
cuidarte:           			0			1			0
iban:               			0			1			1
siente:             			0			0			1
habla:              			0			3			0
exposiciones:       			2			0			0
estudiar:           			1			0			0
ojos:               			0			1			0
dedicarme:          			1			0			0
aplicado:           			0			0			1
tenerlo:            			0			1			0
prometido:          			0			2			0
elevada:            			0			0			1
películas:          			1			1			1
enderezamos:        			0			1			0
pequeñas:           			3			0			3
comencé:            			0			3			0
cómo:               			1			4			2
artimañas:          			0			1			0
apaleados:          			0			1			0
tomado:             			1			0			1
debió:              			0			1			0
tema:               			9			42			3
encuentro:          			0			0			1
panas:              			0			4			0
desarrollan:        			0			0			2
evalúa:             			0			1			0
fotos:              			0			2			0
matar:              			1			0			0
aportar:            			1			1			0
posesión:           			0			1			0
atado:              			1			0			0
comienzan:          			0			2			0
foros:              			3			0			0
